2014年第十一批政治性有害出版物查堵目录,,
"序  号","书  名",出版机构
1,习近平慢杀江泽民,文化艺术出版社（香港）
2,习近平内部讲话,广度书局（香港）
3,习近平内外强硬,外参出版社（香港）
4,强势领袖习近平,明镜出版社（香港）
5,习曾对决,文化艺术出版社（香港）
6,习近平东厂治国,南风窗出版社（香港）
7,政治局三常委面临清洗,新纪元周刊出版社有限公司（香港）
8,中南海台前幕后,外参出版社（香港）
9,中央军委清洗血案,双丰出版公司（香港）
10,中共政变不曾披露的内幕,哈耶出版社（香港）
11,太子党保权祸国,内幕出版社（香港）
12,阿里爸爸和太子大盗,财大出版社（香港）
13,灭团大战,文化艺术出版社（香港）
14,毛邓遗祸,哈耶出版社（香港）
15,国民党员毛泽东,明报出版社有限公司（香港）
16,没有墓碑的草原—蒙古人与文革大屠杀,八旗文化（台湾）
17,公民抗命三巨人—甘地·马丁路德·金·曼德拉,亮光文化有限公司（香港）
18,秦永敏论和平转型,五七学社出版公司（香港）
