序号,书名
1,习近平的危机
2,习近平掌军大对决
3,习近平的王牌
4,习近平恐怖时代
5,习近平有大难
6,江泽民集团密谋政变
7,胡锦涛废习密谋
8,太子党的财富
9,王岐山四次遇刺
10,常委治国
11,夫人政治
12,等待落网的大老虎
13,国安会内幕大起底
14,周永康真冤枉
15,周案系列谋杀揭秘
16,周永康家族的灭亡
17,老虎
18,李鹏家族
19,中国式清算
20,打虎路线图
21,央视后宫
22,名人的暗事
23,央视权钱色交易内幕
24,血色彷徨1989年的政治和美学
25,我是世界最大党：谁在统治及如何统治中国
26,高岗罪案重审
