涉藏破坏民族团结,,
汉文,藏文,英文
拉嘎运动,ལྷག་དཀར་,Lhakar
"布达拉宫 进藏游客  损坏建筑 ",,
"拉萨火车站  严查",,
"拉萨贡嘎机场  查身份证",,
"西藏  便民警务站",,
"西藏  寺庙  喇嘛证",,
"周边藏区  拉萨  五证俱全 三证俱全 ",,
"军人  装扮  僧人 ",,
"藏区  挖矿  神山",,
"进藏游客拍照  拉萨严控  ",,
"羊湖开发游艇 ",,
"岗仁波切开发 ",,
"军警   严查   藏人",,
"拉萨    监控     藏人",,
"大昭寺  神力时代广场  抽水 ",,
"拉萨公安局  办公楼  违规建筑",,
"领导像 进寺  优秀爱国僧尼 ",,
