2014年第三批政治性有害出版物查堵目录,,
序号,书名,出版机构
1,中国教父习近平,开放出版社（香港）
2,习近平的政治公关,明镜出版社（香港）
3,习近平和毛泽东,哈耶出版社（香港）
4,习李争霸战,广度书局（香港）
5,习近平恶斗团派,蓬勃出版社（香港）
6,习近平遇刺始末,新视界传媒（香港）
7,习近平家族的海外秘密资产,名人出版社（香港）
8,周永康余党,外参出版社（香港）
9,周永康之后轮到谁,蓬勃出版社（香港）
10,习近平王岐山围捕周永康家族,环球实业（香港）公司
11,胡春华大战性都,新视界传媒（香港）
12,汤灿引爆打老虎,双丰出版公司（香港）
13,中国情色游戏,外参出版社（香港）
14,中国大风险,明镜出版社（香港）
15,方励之纪念文集,明镜出版社（香港）
16,萤火虫的反抗——这个世纪的知识分子,九江文化出版公司（香港）
17,平等团结路漫漫——对我国民族关系的反思,新世纪出版社（香港）
