域名,网站名称,IP,IP归属地,信息类别,入库时间,一级,二级
http://www.qiubaigif.net,"抓狂网 自传网 邪恶秀糗事百科成人版大合集 gif图",199.83.129.4,美国,"淫秽色情,色情信息","2016-07-06 11:25:45",淫秽色情,色情信息
http://www.jjj2016.net,郑州王朝国际,43.250.190.212,日本,"淫秽色情,色情信息","2016-07-06 11:25:45",淫秽色情,色情信息
http://www.997758.info,在线岛国视频网站,172.82.186.67,美国,"淫秽色情,色情信息","2016-07-06 11:25:45",淫秽色情,色情信息
http://www.pala3.com,"悠悠资源网 - 先锋影音资源站",121.189.59.209,韩国,"淫秽色情,色情信息","2016-07-06 11:25:45",淫秽色情,色情信息
http://uuxxxuu.com,悠悠资源网,174.139.100.101,美国,"淫秽色情,色情信息","2016-07-06 11:25:45",淫秽色情,色情信息
http://www.hbjianghai.com,淫淫五月天,107.183.55.214,美国,"淫秽色情,色情信息","2016-07-06 11:25:45",淫秽色情,色情信息
http://www.qingseyir.com,伊人综合,182.161.39.26,马来西亚,"淫秽色情,色情信息","2016-07-06 11:25:45",淫秽色情,色情信息
http://www.ssff99.com,伊人成人综合网,70.39.92.132,美国,"淫秽色情,色情信息","2016-07-06 11:25:45",淫秽色情,色情信息
http://www.678gy.com,伊人成人,157.52.182.95,美国,"淫秽色情,色情信息","2016-07-06 11:25:45",淫秽色情,色情信息
http://www.kkk789.cn,一夜情约炮网（猎艳网）,211.55.29.6,韩国,"淫秽色情,色情信息","2016-07-06 11:25:45",淫秽色情,色情信息
http://ons69.cc,一夜情交友网,103.200.29.206,香港,"淫秽色情,色情信息","2016-07-06 11:25:45",淫秽色情,色情信息
http://www.dowaypr.com,夜色快播,23.80.44.37,美国,"淫秽色情,色情信息","2016-07-06 11:25:45",淫秽色情,色情信息
http://www.0077a.info,性吧,172.240.123.158,美国,"淫秽色情,色情信息","2016-07-06 11:25:45",淫秽色情,色情信息
http://www.sex867.com,性8,59.124.20.41,台湾,"淫秽色情,色情信息","2016-07-06 11:25:45",淫秽色情,色情信息
http://www.xljy0.com,心灵家园,107.161.23.204,美国,"淫秽色情,色情信息","2016-07-06 11:25:44",淫秽色情,色情信息
http://www.xbdfo.cc,西边的风正太论坛,107.161.19.190,美国,"淫秽色情,色情信息","2016-07-06 11:25:44",淫秽色情,色情信息
http://www.xbdfzg.cc,西边的风童模系列论坛,192.184.93.67,美国,"淫秽色情,色情信息","2016-07-06 11:25:44",淫秽色情,色情信息
http://www.8q22.com,我要色色,198.44.249.53,北美地区,"淫秽色情,色情信息","2016-07-06 11:25:44",淫秽色情,色情信息
http://iimmvv.cc,"我爱看片 - 永久免费手机AV影城",60.199.110.208,台湾,"淫秽色情,色情信息","2016-07-06 11:25:44",淫秽色情,色情信息
http://www.aqyhy.com:88,同城交友,124.248.229.132,香港,"淫秽色情,色情信息","2016-07-06 11:25:44",淫秽色情,色情信息
http://www.aotucm.com:88,同城交友,123.103.246.58,香港,"淫秽色情,色情信息","2016-07-06 11:25:44",淫秽色情,色情信息
http://www.g334.com,同城交友,47.90.13.4,美国,"淫秽色情,色情信息","2016-07-06 11:25:44",淫秽色情,色情信息
http://www.avtaobao.us,淘宝AV,162.212.252.227,美国,"淫秽色情,色情信息","2016-07-06 11:25:44",淫秽色情,色情信息
http://www.jp8.hk,丝语吧,106.186.18.124,日本,"淫秽色情,色情信息","2016-07-06 11:25:44",淫秽色情,色情信息
http://liao.liao6.com:521,圣魔男女聊天室,107.160.68.152,美国,"淫秽色情,色情信息","2016-07-06 11:25:44",淫秽色情,色情信息
http://www.73ln.com,深爱激情,104.200.148.232,北美地区,"淫秽色情,色情信息","2016-07-06 11:25:44",淫秽色情,色情信息
http://seyou1.com,色友,43.230.115.37,日本,"淫秽色情,色情信息","2016-07-06 11:25:44",淫秽色情,色情信息
http://323zz.com,"色影视 淫香淫色 天天影视 来吧综合网 插插插综合网 www.424BB.COM",192.126.118.218,美国,"淫秽色情,色情信息","2016-07-06 11:25:44",淫秽色情,色情信息
http://www.se38.cc,色一把看片网,118.184.11.65,香港,"淫秽色情,色情信息","2016-07-06 11:25:44",淫秽色情,色情信息
http://76dddd.com,色五月,45.61.238.49,美国,"淫秽色情,色情信息","2016-07-06 11:25:44",淫秽色情,色情信息
http://www.666888g.com,色色王国,23.228.245.247,北美地区,"淫秽色情,色情信息","2016-07-06 11:25:44",淫秽色情,色情信息
http://9999ak.com,色色999,198.15.190.14,美国,"淫秽色情,色情信息","2016-07-06 11:25:44",淫秽色情,色情信息
http://b10f.jp,"色情网站 動画無料",39.110.226.211,香港,"淫秽色情,色情信息","2016-07-06 11:25:43",淫秽色情,色情信息
http://x365x.net,色情网,75.125.11.11,美国,"淫秽色情,色情信息","2016-07-06 11:25:43",淫秽色情,色情信息
http://zz998.com,色情,112.213.125.133,香港,"淫秽色情,色情信息","2016-07-06 11:25:43",淫秽色情,色情信息
http://www.887aa.com,色男人色天堂,45.64.65.64,美国,"淫秽色情,色情信息","2016-07-06 11:25:43",淫秽色情,色情信息
http://sedouyu.info,色斗鱼,118.193.235.69,香港,"淫秽色情,色情信息","2016-07-06 11:25:43",淫秽色情,色情信息
http://saonvnv.info,骚女女,104.31.70.223,美国,"淫秽色情,色情信息","2016-07-06 11:25:43",淫秽色情,色情信息
http://www.hh474.com,奇米,172.87.29.132,北美地区,"淫秽色情,色情信息","2016-07-06 11:25:43",淫秽色情,色情信息
http://lulu777.com,"撸一撸,噜噜网,噜噜色,噜噜射 CaoPorn - 超碰在线视频",45.61.227.111,美国,"淫秽色情,色情信息","2016-07-06 11:25:43",淫秽色情,色情信息
http://www.lupian40.com,撸片迷,148.163.165.117,美国,"淫秽色情,色情信息","2016-07-06 11:25:43",淫秽色情,色情信息
http://www.fs304lbxg.com,撸撸色2016,104.203.33.70,美国,"淫秽色情,色情信息","2016-07-06 11:25:43",淫秽色情,色情信息
http://www.hacg.li,琉璃神社★分享动漫快乐,104.28.4.85,美国,"淫秽色情,色情信息","2016-07-06 11:25:43",淫秽色情,色情信息
http://www.shaoxiu125.com,恋夜秀场,104.27.144.235,美国,"淫秽色情,色情信息","2016-07-06 11:25:43",淫秽色情,色情信息
http://xiuluo4.com,恋夜秀场,104.27.172.73,美国,"淫秽色情,色情信息","2016-07-06 11:25:43",淫秽色情,色情信息
http://www.xiumi736.com,恋夜秀场,210.183.56.25,韩国,"淫秽色情,色情信息","2016-07-06 11:25:43",淫秽色情,色情信息
http://www.2mm.la,恋恋影视,104.27.147.239,美国,"淫秽色情,色情信息","2016-07-06 11:25:43",淫秽色情,色情信息
http://xxoodizhi.com,老鸭窝,122.10.18.183,香港,"淫秽色情,色情信息","2016-07-06 11:25:43",淫秽色情,色情信息
http://www.32zt.com,就要撸影院,70.39.103.40,美国,"淫秽色情,色情信息","2016-07-06 11:25:43",淫秽色情,色情信息
http://www.97jzyz.com,玖玖资源站,204.45.0.234,美国,"淫秽色情,色情信息","2016-07-06 11:25:43",淫秽色情,色情信息
http://www.jpk58.com,街拍控,104.28.20.17,美国,"淫秽色情,色情信息","2016-07-06 11:25:43",淫秽色情,色情信息
http://jianjiaola1.info,尖叫啦,23.234.22.138,美国,"淫秽色情,色情信息","2016-07-06 11:25:43",淫秽色情,色情信息
http://68ng.com,极品色影院,104.166.87.61,北美地区,"淫秽色情,色情信息","2016-07-06 11:25:43",淫秽色情,色情信息
http://www.lll72.com,激情综合网,45.61.238.49,美国,"淫秽色情,色情信息","2016-07-06 11:25:42",淫秽色情,色情信息
http://www.13kkkk.com,激情五月，淫淫网，狠狠撸，婷婷五月，深爱五月,45.61.238.49,美国,"淫秽色情,色情信息","2016-07-06 11:25:42",淫秽色情,色情信息
https://www.kkmm44.com,"激情图片 激情小说 伦理电影",104.16.233.125,美国,"淫秽色情,色情信息","2016-07-06 11:25:42",淫秽色情,色情信息
http://www.jiba1.com,鸡吧视频,116.251.219.13,新加坡,"淫秽色情,色情信息","2016-07-06 11:25:42",淫秽色情,色情信息
http://www.w740.com,黄色网站,104.23.97.190,美国,"淫秽色情,色情信息","2016-07-06 11:25:42",淫秽色情,色情信息
http://www.725yy.com,花街AV,162.212.182.17,美国,"淫秽色情,色情信息","2016-07-06 11:25:42",淫秽色情,色情信息
http://www.dvg52.com,狠狠撸vip频道,50.63.202.39,美国,"淫秽色情,色情信息","2016-07-06 11:25:42",淫秽色情,色情信息
http://ng100.cn,韩国主播网,210.124.118.110,韩国,"淫秽色情,色情信息","2016-07-06 11:25:42",淫秽色情,色情信息
http://www.nidongdeav.com,哥也射2016,104.151.209.207,北美地区,"淫秽色情,色情信息","2016-07-06 11:25:42",淫秽色情,色情信息
