域名,网站名称,IP,IP归属地,信息类别,入库时间,一级,二级
http://www.729vvv.com,成人色情,107.161.116.164,美国,"淫秽色情,淫秽信息","2017-04-19 16:54:48",淫秽色情,淫秽信息
http://www.liking08.top,久久热,104.18.61.129,美国,"淫秽色情,淫秽信息","2017-04-19 16:54:48",淫秽色情,淫秽信息
http://www.h67k.com,台湾UU聊天室,60.199.176.67,台湾省,"淫秽色情,淫秽信息","2017-04-19 16:54:48",淫秽色情,淫秽信息
http://geyese.com,哥也色在线AV视频网,23.89.39.5,美国,"淫秽色情,淫秽信息","2017-04-19 16:54:47",淫秽色情,淫秽信息
http://xiai02.com,"喜爱色在线视频 - www.xiai01.com",23.89.39.4,美国,"淫秽色情,淫秽信息","2017-04-19 16:54:47",淫秽色情,淫秽信息
http://www.fcw14.com,废柴,162.252.9.50,北美地区,"淫秽色情,淫秽信息","2017-04-19 16:54:47",淫秽色情,淫秽信息
http://www.uy43.com,成人在线网,103.233.82.193,新加坡,"淫秽色情,淫秽信息","2017-04-19 16:54:47",淫秽色情,淫秽信息
http://kk444.pw,宅男福利_大尺度直播间_分享你懂的福利资源,59.188.83.28,香港,"淫秽色情,淫秽信息","2017-04-19 16:54:47",淫秽色情,淫秽信息
http://ss214.com,"岛_国神器 A_V资源 宅男福利 发布地址",43.230.112.194,日本,"淫秽色情,淫秽信息","2017-04-19 16:54:47",淫秽色情,淫秽信息
http://www.77rrl.com,日日撸,98.143.145.57,美国,"淫秽色情,淫秽信息","2017-04-19 16:54:47",淫秽色情,淫秽信息
http://39qmw.com,奇米网,204.152.217.131,美国,"淫秽色情,淫秽信息","2017-04-19 16:54:47",淫秽色情,淫秽信息
http://www.epqyr.com,得得爱,23.107.106.86,美国,"淫秽色情,淫秽信息","2017-04-19 16:54:47",淫秽色情,淫秽信息
http://www.yongxinmenye.com,哥也撸,23.104.230.130,美国,"淫秽色情,淫秽信息","2017-04-19 16:54:47",淫秽色情,淫秽信息
http://64de.com,色哥哥帝国情色,104.255.221.134,北美地区,"淫秽色情,淫秽信息","2017-04-19 16:54:47",淫秽色情,淫秽信息
http://www.87rrp.com,人人碰,216.144.236.26,美国,"淫秽色情,淫秽信息","2017-04-19 16:54:47",淫秽色情,淫秽信息
http://www.dealbeds.biz,天天日,172.107.10.243,美国,"淫秽色情,淫秽信息","2017-04-19 16:54:47",淫秽色情,淫秽信息
http://lypojie.com,恋夜破解网,103.61.0.219,亚太地区,"淫秽色情,淫秽信息","2017-04-19 16:54:47",淫秽色情,淫秽信息
http://www.kanluoli.com,"看萝莉 Inc",45.35.125.228,美国,"淫秽色情,淫秽信息","2017-04-19 16:54:46",淫秽色情,淫秽信息
http://taomp.net,淘妹铺,103.29.68.172,日本,"淫秽色情,淫秽信息","2017-04-19 16:54:46",淫秽色情,淫秽信息
http://www.eee60.com,"哥也色 就去吻 色色男 色天使 哥也去综合网",142.4.118.80,美国,"淫秽色情,淫秽信息","2017-04-19 16:54:46",淫秽色情,淫秽信息
http://www.76vx.com,萝莉控,112.175.234.233,韩国,"淫秽色情,淫秽信息","2017-04-19 16:54:46",淫秽色情,淫秽信息
http://www.aotu15.com,凹凸视频,162.218.52.106,美国,"淫秽色情,淫秽信息","2017-04-19 16:54:46",淫秽色情,淫秽信息
